"Field","Type","Null","Key","Default","Extra"
shop_id,varchar(100),YES,"",,""
url,varchar(255),YES,"",,""
company,varchar(100),YES,"",,""
company_cn,varchar(100),YES,"",,""
company_address,varchar(100),YES,"",,""
country,varchar(30),YES,"",,""
province_o,varchar(100),YES,"",,""
city_o,varchar(100),YES,"",,""
address,varchar(255),YES,"",,""
zip,varchar(255),YES,"",,""
contact_people,varchar(255),YES,"",,""
sales_money,varchar(255),YES,"",,""
sales,varchar(100),YES,"",,""
company_type,varchar(255),YES,"",,""
keep_time,varchar(255),YES,"",,""
province,varchar(100),YES,"",,""
city,varchar(100),YES,"",,""
county,varchar(100),YES,"",,""
category_id,int,YES,"",,""
category_name,varchar(100),YES,"",,""
category_id_new,int,YES,"",,""
category_name_new,varchar(100),YES,"",,""
